year, population, white (includes white hispanics), non-hispanic whites, black, asian, other or mixed, hispanic/latino, foreign born
1900, 3437202, 3369898, null   , 60666  , 6607   , 31     , null   , 1270080, 
1910, 4766883, 4669162, null   , 91709  , 5669   , 343    , null   , 1944357,
1920, 5620048, 5459463, null   , 152467 , 7969   , 149    , null   , 2028160, 
1930, 6930446, 6589377, null   , 327706 , 12972  , 391    , null   , 2358686,
1940, 7454995, 6977501, 6856586, 458444 , 17986  , 1064   , 120915 , 2138657,
1950, 7891957, 7116441, null   , 747608 , 21441  , 6467   , null   , 1784206,
1960, 7781984, 6640662, null   , 1087931, 43103  , 10288  , null   , 1558690,
1970, 7894862, 6048841, 4969749, 1668115, 94499  , 83407  , 1278630, 1437058,
1980, 7071639, 4294075, 3668945, 1784337, 231501 , 761762 , 1406024, 1670199,
1990, 7322564, 3827088, 3163125, 2102512, 512719 , 880245 , 1783511, 2082931,
2000, 8008278, 3576385, 2801267, 2129762, 792477 , 1509654, 2160554, 2871031,
2010, 8175133, 3597341, 2722904, 2088510, 1043535, 1445747, 2336076, null   ,